ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Glottolog_Name
Aztec_Tetelcingo-30,Aztec_Tetelcingo-30,,18.8854,-98.893,tete1251,,Tetelcingo Nahuatl
Aztec_Zacapoaxtla-31,Aztec_Zacapoaxtla-31,,20.1554,-97.5556,high1278,,Highland Puebla Nahuatl
Cahuilla-12,Cahuilla-12,,33.5324,-116.691,cahu1264,,Cahuilla
Chemehuevi-7,Chemehuevi-7,,35.356093,-116.438436,chem1251,,Chemehuevi
Classical_Aztec-29,Classical_Aztec-29,,19.72,-96.97,clas1250,,Classical Nahuatl
Comanche-5,Comanche-5,,34.0,-101.0,coma1245,,Comanche
Cora-27,Cora-27,,22.4099,-104.467,elna1235,,El Nayar Cora
Cupeno-13,Cupeno-13,,33.3148,-116.515,cupe1243,,Cupeño
Eudeve-21,Eudeve-21,,28.5,-110.0,eude1234,,Eudeve
Gabrielino-15,Gabrielino-15,,34.1,-118.11,tong1329,,Tongva
Guarijio-22,Guarijio-22,,27.8685,-108.437,huar1255,,Huarijio
Hopi-16,Hopi-16,,35.7653,-110.535,hopi1249,,Hopi
Huichol-28,Huichol-28,,21.954,-104.062,huic1243,,Huichol
Kawaiisu-6,Kawaiisu-6,,36.0538,-118.679,kawa1283,,Kawaiisu
Kiowa-35,Kiowa-35,,34.9403,-98.9042,kiow1266,,Kiowa
Kitanemuk-34,Kitanemuk-34,,,,kita1252,,Kitanemuk
Luiseno-14,Luiseno-14,,33.3184,-116.939,luis1253,,Luiseno-Juaneño
Mayo-25,Mayo-25,,26.4522,-108.981,mayo1264,,Mayo
Mono-1,Mono-1,,37.1935,-119.347,mono1275,,Mono (USA)
Northern_Paiute-2,Northern_Paiute-2,,40.0799,-119.536,nort2954,,Northern Paiute
Northern_Tepehuan-19,Northern_Tepehuan-19,,26.4348,-107.379,nort2959,,Northern Tepehuan
Opata-20,Opata-20,,31.15211,-110.06212,opat1246,,Teguima
Pannamint-3,Pannamint-3,,36.0007,-117.901,pana1305,,Panamint
Papago-Pima-17,Papago-Pima-17,,31.7973,-111.995,toho1245,,Tohono O'odham
Pima_de_Onavas-18,Pima_de_Onavas-18,,28.654,-108.326,pima1248,,Pima Bajo
Pipil-32,Pipil-32,,13.8931,-89.443,pipi1250,,Pipil
San_Juan_Pueblo_Tewa-36,San_Juan_Pueblo_Tewa-36,,36.0542,-106.0703,sanj1276,,San Juan (USA)
Serrano-11,Serrano-11,,33.9479,-116.772,serr1255,,Serrano
Shoshoni_Gosiute_Dialect-4,Shoshoni_Gosiute_Dialect-4,,,,gosi1242,,Gosiute
Southeastern_Tepehuan-33,Southeastern_Tepehuan-33,,23.1584,-103.983,sout2976,,Southeastern Tepehuan
Southern_Paiute-8,Southern_Paiute-8,,37.0,-114.0,sout2969,,Southern Paiute
Southern_Ute-9,Southern_Ute-9,,38.0,-109.0,utee1244,,Ute
Tarahumara-23,Tarahumara-23,,27.5648,-107.154,cent2131,,Central Tarahumara
Tubar-24,Tubar-24,,30.0,-111.0,tuba1279,,Tubar
Tubatulabel-10,Tubatulabel-10,,35.327,-117.163,tuba1278,,Tübatulabal
Yaqui-26,Yaqui-26,,29.9446,-110.681,yaqu1251,,Yaqui
