ID,Name,Nexus_File,rooted,type,method,scaling,Source
summary,TREE1,summary.trees,,summary,bayesian,years,
posterior-1,STATE_168260000,posterior.trees,,sample,bayesian,years,
posterior-2,STATE_101670000,posterior.trees,,sample,bayesian,years,
posterior-3,STATE_148930000,posterior.trees,,sample,bayesian,years,
posterior-4,STATE_160370000,posterior.trees,,sample,bayesian,years,
posterior-5,STATE_131730000,posterior.trees,,sample,bayesian,years,
posterior-6,STATE_144280000,posterior.trees,,sample,bayesian,years,
posterior-7,STATE_192740000,posterior.trees,,sample,bayesian,years,
posterior-8,STATE_171480000,posterior.trees,,sample,bayesian,years,
posterior-9,STATE_126500000,posterior.trees,,sample,bayesian,years,
posterior-10,STATE_161130000,posterior.trees,,sample,bayesian,years,
posterior-11,STATE_120360000,posterior.trees,,sample,bayesian,years,
posterior-12,STATE_170940000,posterior.trees,,sample,bayesian,years,
posterior-13,STATE_142780000,posterior.trees,,sample,bayesian,years,
posterior-14,STATE_192100000,posterior.trees,,sample,bayesian,years,
posterior-15,STATE_128570000,posterior.trees,,sample,bayesian,years,
posterior-16,STATE_190640000,posterior.trees,,sample,bayesian,years,
posterior-17,STATE_130610000,posterior.trees,,sample,bayesian,years,
posterior-18,STATE_158150000,posterior.trees,,sample,bayesian,years,
posterior-19,STATE_114960000,posterior.trees,,sample,bayesian,years,
posterior-20,STATE_187010000,posterior.trees,,sample,bayesian,years,
posterior-21,STATE_167530000,posterior.trees,,sample,bayesian,years,
posterior-22,STATE_195860000,posterior.trees,,sample,bayesian,years,
posterior-23,STATE_182570000,posterior.trees,,sample,bayesian,years,
posterior-24,STATE_127300000,posterior.trees,,sample,bayesian,years,
posterior-25,STATE_124280000,posterior.trees,,sample,bayesian,years,
posterior-26,STATE_133710000,posterior.trees,,sample,bayesian,years,
posterior-27,STATE_112760000,posterior.trees,,sample,bayesian,years,
posterior-28,STATE_131130000,posterior.trees,,sample,bayesian,years,
posterior-29,STATE_155970000,posterior.trees,,sample,bayesian,years,
posterior-30,STATE_152770000,posterior.trees,,sample,bayesian,years,
posterior-31,STATE_103860000,posterior.trees,,sample,bayesian,years,
posterior-32,STATE_175180000,posterior.trees,,sample,bayesian,years,
posterior-33,STATE_155630000,posterior.trees,,sample,bayesian,years,
posterior-34,STATE_104410000,posterior.trees,,sample,bayesian,years,
