Site,Label,Concepticon_ID,Concepticon_Gloss
0,all_0,,
1,all_1,98,ALL
2,all_10,98,ALL
3,all_11,98,ALL
4,all_12,98,ALL
5,all_13,98,ALL
6,all_14,98,ALL
7,all_15,98,ALL
8,all_16,98,ALL
9,all_17,98,ALL
10,all_18,98,ALL
11,all_19,98,ALL
12,all_2,98,ALL
13,all_20,98,ALL
14,all_3,98,ALL
15,all_4,98,ALL
16,all_5,98,ALL
17,all_6,98,ALL
18,all_7,98,ALL
19,all_8,98,ALL
20,all_9,98,ALL
21,all_u155,98,ALL
22,all_u6,98,ALL
23,all_u7,98,ALL
24,arm_0,,
25,arm_1,1673,ARM
26,arm_2,1673,ARM
27,arm_3,1673,ARM
28,arm_4,1673,ARM
29,arm_6,1673,ARM
30,arm_7,1673,ARM
31,arm_8,1673,ARM
32,arm_u161,1673,ARM
33,arm_u162,1673,ARM
34,arm_u84,1673,ARM
35,ash_0,,
36,ash_1,646,ASH
37,ash_10,646,ASH
38,ash_11,646,ASH
39,ash_12,646,ASH
40,ash_3,646,ASH
41,ash_4,646,ASH
42,ash_5,646,ASH
43,ash_6,646,ASH
44,ash_7,646,ASH
45,ash_8,646,ASH
46,ash_9,646,ASH
47,bark_0,,
48,bark_1,1204,BARK
49,bark_10,1204,BARK
50,bark_11,1204,BARK
51,bark_12,1204,BARK
52,bark_2,1204,BARK
53,bark_3,1204,BARK
54,bark_4,1204,BARK
55,bark_5,1204,BARK
56,bark_6,1204,BARK
57,bark_7,1204,BARK
58,bark_8,1204,BARK
59,bark_9,1204,BARK
60,bark_u110,1204,BARK
61,belly_0,,
62,belly_1,1251,BELLY
63,belly_2,1251,BELLY
64,belly_3,1251,BELLY
65,belly_4,1251,BELLY
66,belly_5,1251,BELLY
67,belly_6,1251,BELLY
68,belly_7,1251,BELLY
69,belly_8,1251,BELLY
70,belly_9,1251,BELLY
71,belly_u104,1251,BELLY
72,belly_u105,1251,BELLY
73,belly_u2,1251,BELLY
74,big_0,,
75,big_1,1202,BIG
76,big_10,1202,BIG
77,big_11,1202,BIG
78,big_2,1202,BIG
79,big_3,1202,BIG
80,big_4,1202,BIG
81,big_5,1202,BIG
82,big_6,1202,BIG
83,big_7,1202,BIG
84,big_8,1202,BIG
85,big_9,1202,BIG
86,big_u177,1202,BIG
87,big_u178,1202,BIG
88,bird_0,,
89,bird_1,937,BIRD
90,bird_10,937,BIRD
91,bird_11,937,BIRD
92,bird_12,937,BIRD
93,bird_13,937,BIRD
94,bird_14,937,BIRD
95,bird_15,937,BIRD
96,bird_16,937,BIRD
97,bird_2,937,BIRD
98,bird_3,937,BIRD
99,bird_4,937,BIRD
100,bird_5,937,BIRD
101,bird_6,937,BIRD
102,bird_7,937,BIRD
103,bird_9,937,BIRD
104,bird_L2,937,BIRD
105,bird_u168,937,BIRD
106,bite_0,,
107,bite_1,1403,BITE
108,bite_2,1403,BITE
109,bite_u35,1403,BITE
110,bite_u36,1403,BITE
111,black_0,,
112,black_1,163,BLACK
113,black_10,163,BLACK
114,black_12,163,BLACK
115,black_13,163,BLACK
116,black_2,163,BLACK
117,black_3,163,BLACK
118,black_5,163,BLACK
119,black_6,163,BLACK
120,black_7,163,BLACK
121,black_8,163,BLACK
122,black_9,163,BLACK
123,blood_0,,
124,blood_1,946,BLOOD
125,blood_2,946,BLOOD
126,blood_3,946,BLOOD
127,blood_4,946,BLOOD
128,blood_5,946,BLOOD
129,blood_6,946,BLOOD
130,blood_7,946,BLOOD
131,blood_8,946,BLOOD
132,blood_9,946,BLOOD
133,blood_u74,946,BLOOD
134,bone_0,,
135,bone_1,1394,BONE
136,bone_2,1394,BONE
137,bone_3,1394,BONE
138,bone_4,1394,BONE
139,bone_5,1394,BONE
140,bone_6,1394,BONE
141,bone_7,1394,BONE
142,bone_u116,1394,BONE
143,breast_0,,
144,breast_1,1402,BREAST
145,breast_2,1402,BREAST
146,breast_3,1402,BREAST
147,breast_4,1402,BREAST
148,breast_u165,1402,BREAST
149,burn_0,,
150,burn_1,141,BURN (SOMETHING)
151,burn_11,141,BURN (SOMETHING)
152,burn_12,141,BURN (SOMETHING)
153,burn_13,141,BURN (SOMETHING)
154,burn_14,141,BURN (SOMETHING)
155,burn_15,141,BURN (SOMETHING)
156,burn_16,141,BURN (SOMETHING)
157,burn_2,141,BURN (SOMETHING)
158,burn_3,141,BURN (SOMETHING)
159,burn_4,141,BURN (SOMETHING)
160,burn_5,141,BURN (SOMETHING)
161,burn_6,141,BURN (SOMETHING)
162,burn_7,141,BURN (SOMETHING)
163,burn_8,141,BURN (SOMETHING)
164,burn_9,141,BURN (SOMETHING)
165,burn_u51,141,BURN (SOMETHING)
166,claw_nail_0,,
167,claw_nail_1,72,CLAW
