item                                     mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
posterior                                -8995.74 0.173141 11.63599 -8995.50 -9017.98 -8972.28 39855.48 4516.568 NaN     
likelihood                               -8603.53 0.168165 10.45534 -8603.30 -8624.11 -8583.24 46568.55 3865.484 NaN     
prior                                    -392.204 0.070458 5.136071 -391.944 -402.284 -382.079 33876.26 5313.749 NaN     
treeLikelihood.all                       -100.143 0.009771 0.933839 -100.070 -101.967 -98.3824 19707.18 9134.23  NaN     
treeLikelihood.arm                       -79.2220 0.012134 1.216496 -79.1496 -81.4689 -76.7517 17909.22 10051.24 NaN     
treeLikelihood.ash                       -73.5929 0.009371 1.064451 -73.5382 -75.6594 -71.5491 13950.70 12903.29 NaN     
treeLikelihood.bark                      -75.6504 0.013391 1.3094   -75.6444 -78.2525 -72.9396 18827.36 9561.081 NaN     
treeLikelihood.belly                     -103.998 0.013767 1.29717  -103.934 -106.450 -101.391 20274.57 8878.606 NaN     
treeLikelihood.big                       -78.8589 0.014246 1.363311 -78.8765 -81.4497 -76.0645 19654.52 9158.704 NaN     
treeLikelihood.bird                      -91.2825 0.008983 0.909266 -91.2196 -93.0959 -89.5919 17570.92 10244.76 NaN     
treeLikelihood.bite                      -22.7632 0.010632 0.779944 -22.6931 -24.3028 -21.3277 33448.77 5381.662 NaN     
treeLikelihood.black                     -72.1177 0.009008 1.06148  -72.0504 -74.2452 -70.1265 12964.95 13884.35 NaN     
treeLikelihood.blood                     -53.5705 0.014043 1.237573 -53.4281 -56.2534 -51.4916 23179.05 7766.061 NaN     
treeLikelihood.bone                      -41.7064 0.008399 0.860904 -41.6382 -43.3784 -40.0945 17134.87 10505.47 NaN     
treeLikelihood.breast                    -31.9847 0.023394 1.893404 -31.6703 -35.2274 -28.8299 27480.81 6550.387 NaN     
treeLikelihood.burn                      -93.3476 0.011746 1.198076 -93.2730 -95.6986 -91.0340 17302.22 10403.86 NaN     
treeLikelihood.claw_nail                 -37.7345 0.009426 0.932729 -37.6806 -39.6329 -36.0112 18383.62 9791.865 NaN     
treeLikelihood.cloud                     -107.457 0.011112 1.137118 -107.403 -109.706 -105.288 17188.75 10472.54 NaN     
treeLikelihood.cold                      -71.3626 0.010576 1.122835 -71.3167 -73.4842 -69.1045 15970.32 11271.52 NaN     
